Date,UserId,Product,Count,Price
2024-05-22,873,Wheat,57,67.2
2024-01-10,448,Cotton,27,55.5
2024-05-14,680,Plastic,18,92.3
2024-06-05,141,Plastic,79,90.0
2024-01-14,631,Cotton,8,84.4
2024-02-24,653,Plastic,97,18.3
2024-05-13,791,Cotton,98,14.7
2024-02-26,733,Plastic,62,29.6
2024-02-19,741,Leather,36,66.6
2024-06-06,974,Steel,69,28.7
2024-02-24,666,Plastic,50,42.0
2024-04-29,160,Leather,24,35.9
2024-04-28,295,Plastic,65,58.3
2024-01-26,535,Steel,8,35.4
2024-04-14,336,Wheat,30,51.7
2024-01-01,561,Wheat,13,53.3
2024-03-09,901,Plastic,36,68.6
2024-05-22,926,Cotton,1,11.7
2024-06-03,676,Steel,11,98.6
2024-04-13,800,Leather,34,57.5
2024-02-18,187,Cotton,55,70.6
2024-06-02,741,Leather,89,76.0
2024-01-27,819,Steel,73,23.1
2024-01-20,455,Steel,96,10.2
2024-05-07,404,Cotton,30,50.9
2024-04-09,399,Steel,41,83.2
2024-05-05,362,Plastic,51,64.2
2024-01-13,2,Wheat,96,47.1
2024-07-05,593,Cotton,24,26.2
2024-02-07,460,Cotton,88,80.9
2024-04-18,180,Wheat,50,12.9
2024-03-23,692,Cotton,38,90.7
2024-02-23,443,Leather,99,36.3
2024-02-27,223,Wheat,25,54.7
2024-06-15,393,Steel,58,13.0
2024-06-28,253,Plastic,25,17.9
2024-04-06,352,Cotton,8,30.0
2024-05-22,143,Leather,39,28.5
2024-01-31,885,Leather,14,90.5
2024-07-04,649,Steel,47,84.0
2024-07-11,63,Cotton,26,32.3
2024-04-19,409,Steel,46,66.3
2024-04-22,636,Cotton,7,58.7
2024-04-09,705,Cotton,78,64.2
2024-03-16,187,Plastic,42,13.4
2024-05-09,984,Steel,17,95.3
2024-01-25,76,Steel,99,52.0
2024-04-30,235,Steel,63,84.7
2024-04-14,351,Wheat,58,61.8
2024-07-11,478,Steel,30,42.2
2024-06-07,280,Wheat,17,25.1
2024-02-21,45,Plastic,1,95.2
2024-02-28,481,Cotton,69,54.4
2024-05-20,906,Plastic,20,17.7
2024-05-19,120,Leather,100,61.0
2024-02-28,984,Leather,4,94.4
2024-02-12,301,Leather,39,92.4
2024-01-07,100,Leather,43,53.5
2024-01-17,846,Plastic,13,30.2
2024-06-16,345,Cotton,97,17.2
2024-07-16,214,Wheat,23,67.1
2024-04-19,827,Wheat,46,35.7
2024-02-09,224,Wheat,60,18.1
2024-05-17,927,Leather,9,18.5
2024-04-22,662,Cotton,9,35.8
2024-01-31,491,Plastic,77,11.4
2024-07-13,64,Leather,52,76.3
2024-01-04,900,Steel,45,14.8
2024-04-01,919,Steel,54,35.2
2024-06-12,888,Cotton,42,73.3
2024-06-30,453,Steel,36,19.2
2024-02-09,931,Leather,26,46.0
2024-05-09,902,Plastic,66,83.7
2024-02-15,375,Cotton,83,93.6
2024-04-05,210,Wheat,79,79.9
2024-06-24,22,Leather,51,54.0
2024-01-23,331,Plastic,3,64.1
2024-03-26,510,Cotton,85,33.5
2024-05-10,128,Plastic,51,32.8
2024-05-17,242,Leather,74,43.7
2024-01-16,738,Leather,55,83.9
2024-06-06,634,Wheat,75,84.3
2024-06-21,589,Cotton,56,89.3
2024-04-21,950,Wheat,38,81.0
2024-04-13,395,Wheat,13,85.7
2024-03-11,54,Leather,8,70.5
2024-03-31,980,Leather,93,68.5
2024-03-11,372,Leather,73,67.3
2024-01-06,994,Plastic,69,29.8
2024-03-25,887,Wheat,43,85.1
2024-06-30,378,Cotton,94,49.6
2024-07-15,145,Steel,58,46.8
2024-02-25,248,Wheat,55,52.0
2024-02-17,656,Steel,42,90.3
2024-06-15,11,Steel,49,60.1
2024-03-01,769,Leather,59,98.1
2024-02-07,646,Wheat,27,45.0
2024-02-17,684,Leather,46,55.0
2024-04-04,413,Steel,69,34.7
2024-07-02,200,Leather,31,58.4
2024-03-23,471,Plastic,65,84.7
2024-03-03,772,Wheat,29,11.9
2024-01-02,510,Cotton,18,44.3
2024-05-14,74,Steel,61,24.2
2024-06-12,442,Plastic,72,58.3
2024-01-10,977,Steel,47,28.3
2024-01-23,818,Plastic,57,25.9
2024-03-07,431,Steel,23,94.3
2024-02-14,563,Cotton,54,20.2
2024-06-16,830,Leather,23,62.2
2024-02-12,302,Steel,17,66.7
2024-05-08,142,Cotton,12,86.9
2024-02-10,722,Cotton,45,91.2
2024-06-14,434,Cotton,60,58.4
2024-03-26,360,Leather,80,81.5
2024-02-01,318,Cotton,27,98.3
2024-06-12,549,Cotton,70,27.4
2024-03-28,996,Cotton,44,58.6
2024-01-31,528,Steel,47,28.4
2024-03-02,865,Wheat,55,14.2
2024-05-25,917,Cotton,62,74.1
2024-07-05,942,Steel,93,20.6
2024-02-06,997,Wheat,31,23.4
2024-06-02,696,Cotton,55,52.6
2024-02-27,545,Plastic,30,92.8
2024-07-03,366,Wheat,58,87.0
2024-05-26,57,Leather,19,79.6
2024-05-18,103,Leather,40,15.3
2024-07-10,75,Steel,71,92.2
2024-01-24,416,Plastic,78,60.5
2024-01-03,461,Wheat,16,80.7
2024-05-16,107,Wheat,46,97.3
2024-02-23,574,Plastic,100,72.8
2024-05-29,932,Wheat,5,16.1
2024-05-25,526,Leather,30,42.1
2024-01-30,453,Leather,10,79.2
2024-05-02,348,Plastic,34,74.4
2024-03-15,112,Plastic,16,79.9
2024-06-16,457,Plastic,38,63.8
2024-05-16,218,Leather,23,33.9
2024-02-12,276,Leather,43,46.4
2024-04-10,763,Wheat,83,44.5
2024-05-05,916,Cotton,72,28.0
2024-03-16,390,Plastic,85,51.4
2024-04-25,86,Leather,46,24.7
2024-06-30,179,Cotton,33,21.0
2024-02-12,327,Cotton,20,28.8
2024-05-26,214,Steel,20,44.8
2024-05-23,559,Plastic,41,100.0
2024-01-30,560,Steel,27,43.3
2024-05-07,987,Plastic,30,85.0
2024-05-02,865,Cotton,63,64.1
2024-07-05,678,Cotton,28,60.3
2024-02-15,468,Leather,8,53.9
2024-02-23,550,Leather,78,48.9
2024-05-31,298,Plastic,76,90.9
2024-04-05,144,Steel,17,70.2
2024-01-06,354,Leather,87,64.8
2024-03-24,242,Plastic,38,62.2
2024-02-05,615,Plastic,85,23.5
2024-02-22,484,Cotton,20,78.5
2024-05-04,801,Cotton,37,88.3
2024-06-20,601,Cotton,28,94.1
2024-06-22,841,Steel,81,12.4
2024-04-01,14,Plastic,9,70.6
2024-05-03,970,Plastic,18,12.9
2024-02-10,623,Wheat,93,39.2
2024-06-05,927,Cotton,85,75.9
2024-06-15,1000,Wheat,60,81.1
2024-03-24,576,Wheat,75,45.8
2024-02-08,367,Cotton,73,28.7
2024-01-16,607,Steel,74,74.3
2024-01-05,443,Steel,29,89.0
2024-02-01,403,Leather,3,57.6
2024-02-17,406,Steel,3,84.1
2024-07-11,307,Wheat,9,77.0
2024-01-15,230,Plastic,64,80.2
2024-04-26,615,Wheat,4,72.0
2024-01-21,591,Leather,84,20.1
2024-06-10,709,Plastic,44,16.3
2024-03-10,259,Steel,53,29.3
2024-04-24,289,Plastic,81,41.6
2024-02-19,681,Plastic,80,40.1
2024-03-13,184,Wheat,76,31.7
2024-02-03,636,Cotton,89,58.4
2024-01-05,199,Steel,63,99.4
2024-05-27,927,Plastic,54,99.4
2024-04-09,134,Cotton,30,49.8
2024-03-27,274,Plastic,16,45.3
2024-04-28,10,Plastic,97,14.3
2024-01-10,309,Plastic,34,95.1
2024-05-30,818,Wheat,86,31.0
2024-05-29,373,Wheat,67,31.2
2024-02-07,559,Wheat,96,19.3
2024-01-26,345,Wheat,67,75.9
2024-03-10,404,Wheat,4,97.5
2024-03-28,831,Wheat,67,46.2
2024-01-01,709,Leather,94,92.4
2024-04-12,682,Cotton,65,74.2
2024-03-11,773,Plastic,11,55.2
2024-04-30,201,Wheat,7,13.9
2024-06-14,236,Plastic,84,48.8
2024-02-03,232,Leather,3,40.0
2024-01-15,74,Wheat,56,13.1
2024-05-17,880,Wheat,38,26.7
2024-02-05,661,Cotton,7,50.2
2024-03-17,387,Steel,73,84.8
2024-03-11,47,Steel,62,98.9
2024-05-11,408,Leather,33,35.4
2024-02-17,79,Plastic,18,31.3
2024-01-28,531,Wheat,90,26.5
2024-02-18,347,Wheat,54,62.6
2024-06-06,264,Steel,49,21.1
2024-05-31,559,Steel,76,97.7
2024-06-05,49,Plastic,44,49.5
2024-01-17,457,Leather,73,50.9
2024-05-26,92,Plastic,42,65.8
2024-03-10,389,Wheat,53,68.7
2024-06-25,160,Steel,49,77.3
2024-02-18,503,Cotton,56,22.1
2024-05-30,387,Wheat,52,49.8
2024-03-10,475,Steel,85,26.9
2024-04-18,475,Cotton,13,65.3
2024-01-31,950,Leather,41,50.2
2024-01-29,675,Leather,19,55.4
2024-03-02,536,Plastic,26,43.8
2024-02-29,505,Steel,86,54.1
2024-03-25,120,Wheat,72,85.4
2024-06-14,195,Wheat,3,30.7
2024-06-05,692,Cotton,73,11.5
2024-06-17,717,Cotton,37,41.5
2024-03-06,646,Leather,73,18.4
2024-01-19,426,Plastic,90,99.1
2024-06-11,612,Steel,17,23.5
2024-01-19,181,Leather,49,20.0
2024-06-22,608,Plastic,100,29.9
2024-04-10,112,Cotton,21,86.7
2024-03-05,537,Leather,3,40.2
2024-02-11,172,Wheat,23,71.0
2024-03-07,162,Leather,5,95.5
2024-06-10,975,Leather,50,42.1
2024-03-23,310,Wheat,25,67.2
2024-03-27,367,Steel,59,56.7
2024-02-20,813,Leather,38,97.1
2024-05-08,619,Plastic,46,49.9
2024-03-16,69,Plastic,99,69.5
2024-01-29,549,Steel,54,20.1
2024-06-09,309,Cotton,78,95.8
2024-06-28,774,Cotton,62,36.2
2024-05-31,298,Cotton,89,88.7
2024-02-22,451,Steel,25,34.5
2024-07-05,409,Cotton,52,49.8
2024-06-26,925,Cotton,58,24.3
2024-05-23,109,Wheat,88,14.6
2024-03-02,741,Leather,59,51.9
2024-05-22,32,Steel,5,19.5
2024-02-21,556,Leather,72,58.1
2024-06-09,435,Cotton,43,23.2
2024-05-28,175,Plastic,66,66.1
2024-01-01,596,Plastic,99,38.3
2024-01-28,345,Leather,42,46.6
2024-05-25,256,Steel,40,74.3
2024-02-12,736,Wheat,91,91.5
2024-06-20,663,Steel,30,93.6
2024-01-24,261,Steel,17,22.8
2024-04-02,747,Leather,86,12.7
2024-05-19,523,Cotton,64,98.7
2024-07-13,883,Leather,45,76.9
2024-02-23,715,Plastic,4,33.8
2024-02-12,843,Wheat,22,10.2
2024-04-29,940,Steel,39,86.0
2024-03-27,613,Leather,74,70.3
2024-04-30,273,Steel,13,76.1
2024-04-17,372,Wheat,12,23.4
2024-05-06,260,Cotton,39,95.8
2024-02-10,620,Wheat,27,81.8
2024-03-05,5,Wheat,1,77.4
2024-03-06,79,Leather,67,29.5
2024-06-07,426,Plastic,36,70.8
2024-05-10,966,Cotton,34,19.3
2024-03-15,186,Wheat,3,74.8
2024-03-09,534,Wheat,100,46.4
2024-05-03,5,Steel,52,80.5
2024-05-21,621,Leather,47,32.2
2024-06-03,6,Plastic,72,58.3
2024-02-17,705,Leather,97,73.7
2024-02-10,144,Cotton,32,80.0
2024-02-19,895,Cotton,69,43.4
2024-01-01,310,Wheat,57,70.4
2024-03-04,457,Cotton,34,43.2
2024-03-07,773,Plastic,96,98.5
2024-06-11,577,Plastic,26,15.6
2024-07-14,483,Cotton,77,98.7
2024-06-11,34,Steel,12,86.4
2024-03-11,16,Steel,39,80.1
2024-06-15,367,Leather,43,50.7
2024-06-11,815,Leather,55,23.6
2024-06-01,794,Wheat,41,44.7
2024-04-29,575,Plastic,38,89.1
2024-03-02,599,Plastic,76,27.0
2024-04-09,389,Cotton,66,11.4
2024-05-29,917,Wheat,53,73.2
2024-01-31,559,Plastic,84,23.5
2024-02-01,553,Leather,39,57.5
2024-07-07,75,Plastic,78,21.5
2024-05-05,951,Wheat,98,35.4
2024-06-09,200,Plastic,12,87.4
2024-03-24,363,Cotton,41,88.3
2024-01-23,631,Wheat,13,76.6
2024-04-02,463,Wheat,36,13.2
2024-07-01,779,Cotton,36,79.6
2024-07-09,860,Steel,12,25.7
2024-03-17,689,Plastic,13,13.5
2024-04-01,453,Leather,93,86.1
2024-04-18,6,Steel,99,44.1
2024-03-14,462,Steel,33,51.7
2024-05-13,494,Plastic,52,92.8
2024-05-28,744,Wheat,13,96.5
2024-01-09,106,Leather,5,81.1
2024-07-03,893,Wheat,93,32.1
2024-02-22,18,Steel,79,98.7
